"","website_short_name","team_name","position","price","total_points","gameweek","minutes_played","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus_points_allocated","bps","influence","creativity","threat","ict_index","clearances_blocks_interceptions","recoveries","tackles","defensive_contribution","expected_goals","expected_assists","expected_goal_involvements","expected_goals_conceded","transfers_balance","selected","transfers_in","transfers_out","first_name","second_name","team_strength","total_xg_conceded","opposition_team","opposition_fixture_difficulty","team_elo","opposition_elo","team_attack_elo","opposition_attack_elo","team_defence_elo","opposition_defence_elo","was_home"
"1","Raya","Arsenal","GK","£5.5",10,1,90,0,0,1,0,0,0,0,1,0,7,3,38,49.2,0,0,4.9,1,13,0,0,0,0,0,1.52,0,1531911,0,0,"David","Raya Martín",5,1.52,"Man Utd",3,1375,1135,1400,1100,1350,1170,FALSE
"2","Raya","Arsenal","GK","£5.5",6,2,90,0,0,1,0,0,0,0,0,0,1,0,28,13.4,0,0,1.3,0,3,0,0,0,0,0,0.17,218659,2284634,277339,58680,"David","Raya Martín",5,0.17,"Leeds",3,1300,1145,1340,1100,1260,1190,TRUE
"3","Raya","Arsenal","GK","£5.5",2,3,90,0,0,0,1,0,0,0,0,0,2,0,12,20,10,0,3,0,12,0,0,0,0.02,0.02,0.52,-12311,2406964,146739,159050,"David","Raya Martín",5,0.52,"Liverpool",4,1375,1230,1400,1170,1350,1290,FALSE
"4","Raya","Arsenal","GK","£5.5",6,4,90,0,0,1,0,0,0,0,0,0,1,0,24,12.8,0,0,1.3,0,9,0,0,0,0,0,0.2,171289,2765759,289041,117752,"David","Raya Martín",5,0.2,"Nott'm Forest",3,1300,1130,1340,1110,1260,1150,TRUE
"5","Raya","Arsenal","GK","£5.5",2,5,90,0,0,0,1,0,0,0,0,0,2,0,13,21.4,0,0,2.1,1,6,0,0,0,0.01,0.01,0.89,-9786,2762632,98100,107886,"David","Raya Martín",5,0.89,"Man City",4,1300,1305,1340,1230,1260,1380,TRUE
"6","Raya","Arsenal","GK","£5.6",2,6,90,0,0,0,1,0,0,0,0,0,2,0,11,15.8,0,0,1.6,2,10,0,0,0,0.01,0.01,0.61,227251,3029654,357846,130595,"David","Raya Martín",5,0.61,"Newcastle",3,1375,1160,1400,1170,1350,1150,FALSE
"7","Raya","Arsenal","GK","£5.6",6,7,90,0,0,1,0,0,0,0,0,0,0,0,20,3.2,0,0,0.3,0,8,0,0,0,0,0,0.49,212315,3297838,287510,75195,"David","Raya Martín",5,0.49,"West Ham",3,1300,1075,1340,1050,1260,1100,TRUE
"8","Raya","Arsenal","GK","£5.7",6,8,90,0,0,1,0,0,0,0,0,0,0,0,21,4.6,0,0,0.5,2,7,0,0,0,0,0,0.44,120482,3447590,208192,87710,"David","Raya Martín",5,0.44,"Fulham",3,1375,1090,1400,1080,1350,1100,FALSE
"9","Raya","Arsenal","GK","£5.7",6,9,90,0,0,1,0,0,0,0,0,0,1,0,25,15,0.1,0,1.5,2,10,0,0,0,0,0,0.47,81905,3546345,131150,49245,"David","Raya Martín",5,0.47,"Crystal Palace",3,1300,1205,1340,1150,1260,1260,TRUE
"10","Raya","Arsenal","GK","£5.8",6,10,90,0,0,1,0,0,0,0,0,0,0,0,20,2.8,0.1,0,0.3,1,7,0,0,0,0,0,0.42,227648,3816996,267422,39774,"David","Raya Martín",5,0.42,"Burnley",3,1375,1055,1400,1010,1350,1100,FALSE
