"","id","code","team_h","team_h_score","team_a","team_a_score","event","finished","minutes","provisional_start_time","kickoff_time","round","was_home","difficulty","first_name","second_name","web_name","team","element_type","photo","team_name","short_team_name","strength","team_id","opp_team_id","opp_team_name","opp_short_team_name","opp_strength","team_strength","home_team","away_team","opp_team_strength","team_strength_att","opp_team_strength_att","team_strength_def","opp_team_strength_def"
"1","1",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Folarin","Balogun","Balogun",1,4,"232223.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"2","2",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Cédric","Alves Soares","Cédric",1,2,"58822.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"3","3",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Mohamed","Elneny","M.Elneny",1,3,"153256.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"4","4",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Fábio","Ferreira Vieira","Fábio Vieira",1,3,"438098.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"5","5",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Gabriel","dos Santos Magalhães","Gabriel",1,2,"226597.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"6","6",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Kai","Havertz","Havertz",1,3,"219847.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"7","8",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Gabriel","Fernando de Jesus","G.Jesus",1,4,"205651.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"8","9",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Jorge Luiz","Frello Filho","Jorginho",1,3,"85955.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"9","10",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Jakub","Kiwior","Kiwior",1,2,"440854.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"10","11",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Marcus","Oliveira Alencar","Marquinhos",1,3,"479683.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"11","12",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Gabriel","Martinelli Silva","Martinelli",1,3,"444145.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"12","13",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Eddie","Nketiah","Nketiah",1,4,"205533.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"13","14",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Martin","Ødegaard","Ødegaard",1,3,"184029.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"14","15",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Thomas","Partey","Thomas",1,3,"167199.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"15","16",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Nicolas","Pépé","Pepe",1,3,"195735.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"16","17",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Aaron","Ramsdale","Ramsdale",1,1,"225321.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"17","18",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Rúnar Alex","Rúnarsson","Rúnarsson",1,1,"115918.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"18","19",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Bukayo","Saka","Saka",1,3,"223340.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"19","20",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"William","Saliba","Saliba",1,2,"462424.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"20","22",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Emile","Smith Rowe","Smith Rowe",1,3,"209289.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"21","24",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Kieran","Tierney","Tierney",1,2,"192895.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"22","25",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Takehiro","Tomiyasu","Tomiyasu",1,2,"223723.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"23","26",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Leandro","Trossard","Trossard",1,3,"116216.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"24","29",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Benjamin","White","White",1,2,"198869.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"25","30",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Granit","Xhaka","Xhaka",1,3,"84450.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"26","31",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Oleksandr","Zinchenko","Zinchenko",1,2,"206325.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"27","113",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"David","Raya Martin","Raya",1,1,"154561.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"28","540",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Declan","Rice","Rice",1,3,"204480.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"29","578",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Reiss","Nelson","Nelson",1,3,"200641.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"30","585",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Jurriën","Timber","J.Timber",1,2,"445122.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"31","646",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Karl","Hein","Hein",1,1,"463748.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"32","735",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Charles","Sagoe","Sagoe",1,3,"516874.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"33","736",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Reuell","Walters","Walters",1,2,"535262.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"34","737",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Bradley","Ibrahim","Ibrahim",1,3,"535264.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"35","764",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Myles","Lewis-Skelly","Lewis-Skelly",1,3,"499169.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"36","772",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Ethan","Nwaneri","Nwaneri",1,3,"499175.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"37","815",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"Mauro","Bandeira","Bandeira",1,3,"504751.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"38","817",2367908,1,NA,9,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",TRUE,2,"James","Sweet","Sweet",1,2,"503308.jpg","Arsenal","ARS",5,1,9,"Everton","EVE",3,1350,"Arsenal","Everton",1100,1370,1125,1330,1080
"39","32",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Alexandre","Moreno Lopera","Alex Moreno",2,2,"106468.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"40","34",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Leon","Bailey","Bailey",2,3,"215711.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"41","35",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Emiliano","Buendía Stati","Buendia",2,3,"195546.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"42","36",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Matty","Cash","Cash",2,2,"199796.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"43","37",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Calum","Chambers","Chambers",2,2,"101184.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"44","38",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Philippe","Coutinho Correia","Coutinho",2,3,"84583.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"45","39",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Keinan","Davis","Davis",2,4,"221239.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"46","40",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Leander","Dendoncker","Dendoncker",2,3,"151589.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"47","41",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Diego Carlos","Santos Silva","Diego Carlos",2,2,"165659.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"48","42",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Lucas","Digne","Digne",2,2,"101188.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"49","43",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Douglas Luiz","Soares de Paulo","Douglas Luiz",2,3,"230046.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"50","44",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Jhon","Durán","Duran",2,4,"476344.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"51","45",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Kortney","Hause","Hause",2,2,"123354.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"52","46",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Tim","Iroegbunam","Iroegbunam",2,3,"490094.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"53","47",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Boubacar","Kamara","Kamara",2,3,"226944.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"54","48",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Ezri","Konsa Ngoyo","Konsa",2,2,"199798.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
"55","49",2367913,8,NA,2,NA,38,FALSE,0,FALSE,"2024-05-19T15:00:00Z","38",FALSE,2,"Emiliano","Martínez Romero","Martinez",2,1,"98980.jpg","Aston Villa","AVL",4,2,8,"Crystal Palace","CRY",3,1285,"Crystal Palace","Aston Villa",1070,1220,1080,1350,1060
