"","id","first_name","second_name","web_name","team","element_type","photo","team_name","short_team_name","strength","strength_overall_home","strength_overall_away","strength_attack_home","strength_attack_away","strength_defence_home","strength_defence_away"
"1",1,"Folarin","Balogun","Balogun",1,4,"232223.jpg","Arsenal","ARS",5,1350,1365,1370,1370,1330,1360
"2",2,"Cédric","Alves Soares","Cédric",1,2,"58822.jpg","Arsenal","ARS",5,1350,1365,1370,1370,1330,1360
"3",3,"Mohamed","Elneny","M.Elneny",1,3,"153256.jpg","Arsenal","ARS",5,1350,1365,1370,1370,1330,1360
"4",4,"Fábio","Ferreira Vieira","Fábio Vieira",1,3,"438098.jpg","Arsenal","ARS",5,1350,1365,1370,1370,1330,1360
"5",5,"Gabriel","dos Santos Magalhães","Gabriel",1,2,"226597.jpg","Arsenal","ARS",5,1350,1365,1370,1370,1330,1360
"6",6,"Kai","Havertz","Havertz",1,3,"219847.jpg","Arsenal","ARS",5,1350,1365,1370,1370,1330,1360
"7",8,"Gabriel","Fernando de Jesus","G.Jesus",1,4,"205651.jpg","Arsenal","ARS",5,1350,1365,1370,1370,1330,1360
"8",9,"Jorge Luiz","Frello Filho","Jorginho",1,3,"85955.jpg","Arsenal","ARS",5,1350,1365,1370,1370,1330,1360
"9",10,"Jakub","Kiwior","Kiwior",1,2,"440854.jpg","Arsenal","ARS",5,1350,1365,1370,1370,1330,1360
"10",11,"Marcus","Oliveira Alencar","Marquinhos",1,3,"479683.jpg","Arsenal","ARS",5,1350,1365,1370,1370,1330,1360
"11",12,"Gabriel","Martinelli Silva","Martinelli",1,3,"444145.jpg","Arsenal","ARS",5,1350,1365,1370,1370,1330,1360
"12",13,"Eddie","Nketiah","Nketiah",1,4,"205533.jpg","Arsenal","ARS",5,1350,1365,1370,1370,1330,1360
"13",14,"Martin","Ødegaard","Ødegaard",1,3,"184029.jpg","Arsenal","ARS",5,1350,1365,1370,1370,1330,1360
"14",15,"Thomas","Partey","Thomas",1,3,"167199.jpg","Arsenal","ARS",5,1350,1365,1370,1370,1330,1360
"15",16,"Nicolas","Pépé","Pepe",1,3,"195735.jpg","Arsenal","ARS",5,1350,1365,1370,1370,1330,1360
"16",17,"Aaron","Ramsdale","Ramsdale",1,1,"225321.jpg","Arsenal","ARS",5,1350,1365,1370,1370,1330,1360
"17",18,"Rúnar Alex","Rúnarsson","Rúnarsson",1,1,"115918.jpg","Arsenal","ARS",5,1350,1365,1370,1370,1330,1360
"18",19,"Bukayo","Saka","Saka",1,3,"223340.jpg","Arsenal","ARS",5,1350,1365,1370,1370,1330,1360
"19",20,"William","Saliba","Saliba",1,2,"462424.jpg","Arsenal","ARS",5,1350,1365,1370,1370,1330,1360
"20",22,"Emile","Smith Rowe","Smith Rowe",1,3,"209289.jpg","Arsenal","ARS",5,1350,1365,1370,1370,1330,1360
"21",24,"Kieran","Tierney","Tierney",1,2,"192895.jpg","Arsenal","ARS",5,1350,1365,1370,1370,1330,1360
"22",25,"Takehiro","Tomiyasu","Tomiyasu",1,2,"223723.jpg","Arsenal","ARS",5,1350,1365,1370,1370,1330,1360
"23",26,"Leandro","Trossard","Trossard",1,3,"116216.jpg","Arsenal","ARS",5,1350,1365,1370,1370,1330,1360
"24",29,"Benjamin","White","White",1,2,"198869.jpg","Arsenal","ARS",5,1350,1365,1370,1370,1330,1360
"25",30,"Granit","Xhaka","Xhaka",1,3,"84450.jpg","Arsenal","ARS",5,1350,1365,1370,1370,1330,1360
"26",31,"Oleksandr","Zinchenko","Zinchenko",1,2,"206325.jpg","Arsenal","ARS",5,1350,1365,1370,1370,1330,1360
"27",113,"David","Raya Martin","Raya",1,1,"154561.jpg","Arsenal","ARS",5,1350,1365,1370,1370,1330,1360
"28",540,"Declan","Rice","Rice",1,3,"204480.jpg","Arsenal","ARS",5,1350,1365,1370,1370,1330,1360
