"","name_club","round","total_points","opp_team","id","games","GW_Type"
"1","A.Becker (LIV)",1,3,"CHE",291,1,"SGW"
"2","A.Becker (LIV)",2,2,"BOU",291,1,"SGW"
"3","A.Becker (LIV)",3,5,"NEW",291,1,"SGW"
"4","A.Becker (LIV)",4,8,"AVL",291,1,"SGW"
"5","A.Becker (LIV)",5,2,"WOL",291,1,"SGW"
"6","A.Becker (LIV)",6,3,"WHU",291,1,"SGW"
"7","A.Becker (LIV)",7,4,"TOT",291,1,"SGW"
"8","A.Becker (LIV)",8,1,"BHA",291,1,"SGW"
"9","A.Becker (LIV)",9,8,"EVE",291,1,"SGW"
"10","A.Becker (LIV)",10,7,"NFO",291,1,"SGW"
"11","A.Becker (LIV)",11,6,"LUT",291,1,"SGW"
"12","A.Becker (LIV)",12,7,"BRE",291,1,"SGW"
"13","A.Becker (LIV)",13,3,"MCI",291,1,"SGW"
"14","A.Becker (LIV)",14,0,"FUL",291,1,"SGW"
"15","A.Becker (LIV)",15,0,"SHU",291,1,"SGW"
"16","A.Becker (LIV)",16,3,"CRY",291,1,"SGW"
"17","A.Becker (LIV)",17,6,"MUN",291,1,"SGW"
"18","A.Becker (LIV)",18,2,"ARS",291,1,"SGW"
"19","A.Becker (LIV)",19,6,"BUR",291,1,"SGW"
"20","A.Becker (LIV)",20,1,"NEW",291,1,"SGW"
"21","A.Becker (LIV)",21,6,"BOU",291,1,"SGW"
"22","A.Becker (LIV)",22,2,"CHE",291,1,"SGW"
"23","A.Becker (LIV)",23,2,"ARS",291,1,"SGW"
"24","A.Becker (LIV)",24,0,"BUR",291,1,"SGW"
"25","A.Becker (LIV)",25,0,"BRE,LUT",291,2,"DGW"
"26","A.Becker (LIV)",26,NA,NA,291,NA,"BGW"
"27","A.Becker (LIV)",27,0,"NFO",291,1,"SGW"
"28","A.Becker (LIV)",28,0,"MCI",291,1,"SGW"
"29","A.Becker (LIV)",29,NA,NA,291,NA,"BGW"
"30","A.Becker (LIV)",30,0,"BHA",291,1,"SGW"
"31","A.Becker (LIV)",31,0,"SHU",291,1,"SGW"
"32","A.Becker (LIV)",32,0,"MUN",291,1,"SGW"
"33","A.Becker (LIV)",33,3,"CRY",291,1,"SGW"
"34","A.Becker (LIV)",34,5,"FUL,EVE",291,2,"DGW"
"35","A.Becker (LIV)",35,3,"WHU",291,1,"SGW"
"36","A.Becker (LIV)",36,2,"TOT",291,1,"SGW"
"37","A.Becker (LIV)",37,1,"AVL",291,1,"SGW"
"38","A.Becker (LIV)",38,6,"WOL",291,1,"SGW"
"39","A.Davies (SHU)",1,0,"CRY",479,1,"SGW"
"40","A.Davies (SHU)",2,0,"NFO",479,1,"SGW"
"41","A.Davies (SHU)",3,0,"MCI",479,1,"SGW"
"42","A.Davies (SHU)",4,0,"EVE",479,1,"SGW"
"43","A.Davies (SHU)",5,0,"TOT",479,1,"SGW"
"44","A.Davies (SHU)",6,0,"NEW",479,1,"SGW"
"45","A.Davies (SHU)",7,0,"WHU",479,1,"SGW"
"46","A.Davies (SHU)",8,0,"FUL",479,1,"SGW"
"47","A.Davies (SHU)",9,0,"MUN",479,1,"SGW"
"48","A.Davies (SHU)",10,0,"ARS",479,1,"SGW"
"49","A.Davies (SHU)",11,0,"WOL",479,1,"SGW"
"50","A.Davies (SHU)",12,0,"BHA",479,1,"SGW"
"51","A.Davies (SHU)",13,0,"BOU",479,1,"SGW"
"52","A.Davies (SHU)",14,0,"BUR",479,1,"SGW"
"53","A.Davies (SHU)",15,0,"LIV",479,1,"SGW"
"54","A.Davies (SHU)",16,0,"BRE",479,1,"SGW"
"55","A.Davies (SHU)",17,0,"CHE",479,1,"SGW"
"56","A.Davies (SHU)",18,0,"AVL",479,1,"SGW"
"57","A.Davies (SHU)",19,0,"LUT",479,1,"SGW"
"58","A.Davies (SHU)",20,0,"MCI",479,1,"SGW"
"59","A.Davies (SHU)",21,0,"WHU",479,1,"SGW"
"60","A.Davies (SHU)",22,0,"CRY",479,1,"SGW"
"61","A.Davies (SHU)",23,0,"AVL",479,1,"SGW"
"62","A.Davies (SHU)",24,0,"LUT",479,1,"SGW"
"63","A.Davies (SHU)",25,0,"BHA",479,1,"SGW"
"64","A.Davies (SHU)",26,0,"WOL",479,1,"SGW"
"65","A.Davies (SHU)",27,0,"ARS",479,1,"SGW"
"66","A.Davies (SHU)",28,0,"BOU",479,1,"SGW"
"67","A.Davies (SHU)",29,NA,NA,479,NA,"BGW"
"68","A.Davies (SHU)",30,0,"FUL",479,1,"SGW"
